"data__id","data__name","data__symbol","data__website_slug","metadata__timestamp","metadata__num_cryptocurrencies","metadata__error"
"1038","Eurocoin","EUC","eurocoin","","",""
"1042","Siacoin","SC","siacoin","","",""
"1044","Global Currency Reserve","GCR","global-currency-reserve","","",""
"1045","DeltaCredits","DCRE","deltacredits","","",""
"1048","SatoshiMadness","MAD","satoshimadness","","",""
"1050","Shift","SHIFT","shift","","",""
"1052","VectorAI","VEC2","vector","","",""
"1053","Bolivarcoin","BOLI","bolivarcoin","","",""
"1058","SpaceCoin","SPACE","spacecoin","","",""
"1062","Flycoin","FLY","flycoin","","",""
"1063","Bitcrystals","BCY","bitcrystals","","",""
"1066","Pakcoin","PAK","pakcoin","","",""
"1069","Influxcoin","INFX","influxcoin","","",""
"1070","Expanse","EXP","expanse","","",""
"1073","Steps","STEPS","steps","","",""
"1082","SIBCoin","SIB","sibcoin","","",""
"1084","IslaCoin","ISL","islacoin","","",""
"1085","Swing","SWING","swing","","",""
"1087","Factom","FCT","factom","","",""
"1089","ParallelCoin","DUO","parallelcoin","","",""
"1090","Save and Gain","SANDG","save-and-gain","","",""
"1093","Prototanium","PR","prototanium","","",""
"1100","DigiCube","CUBE","digicube","","",""
"1104","Augur","REP","augur","","",""
"1106","StrongHands","SHND","stronghands","","",""
"1107","PACcoin","$PAC","paccoin","","",""
"1109","Elite","1337","1337coin","","",""
"1110","Money","$$$","money","","",""
"1111","SOILcoin","SOIL","soilcoin","","",""
"1113","SecretCoin","SCRT","secretcoin","","",""
"1120","DraftCoin","DFT","draftcoin","","",""
"1123","OBITS","OBITS","obits","","",""
"1125","Synereo","AMP","synereo","","",""
"1128","GBCGoldCoin","GBC","gbcgoldcoin","","",""
"1131","X2","X2","x2","","",""
"1135","ClubCoin","CLUB","clubcoin","","",""
"1136","Adzcoin","ADZ","adzcoin","","",""
"1139","MindCoin","MND","mindcoin","","",""
"1141","Moin","MOIN","moin","","",""
"1146","AvatarCoin","AV","avatarcoin","","",""
"1147","RussiaCoin","RC","russiacoin","","",""
"1148","EverGreenCoin","EGC","evergreencoin","","",""
"1151","Opescoin","OPES","opescoin","","",""
"1153","Creditbit","CRB","creditbit","","",""
"1154","Radium","RADS","radium","","",""
"1155","Litecred","LTCR","litecred","","",""
"1156","Yocoin","YOC","yocoin","","",""
"1159","SaluS","SLS","salus","","",""
"1164","Francs","FRN","francs","","",""
"1165","Evil Coin","EVIL","evil-coin","","",""
"1168","Decred","DCR","decred","","",""
"1169","PIVX","PIVX","pivx","","",""
"1172","Safe Exchange Coin","SAFEX","safe-exchange-coin","","",""
"1173","HempCoin","HMP","hempcoin-hmp","","",""
"1175","Rubies","RBIES","rubies","","",""
"1176","Asiadigicoin","ADCN","asiadigicoin","","",""
"1180","Destiny","DES","destiny","","",""
"1182","KiloCoin","KLC","kilocoin","","",""
"1185","TrumpCoin","TRUMP","trumpcoin","","",""
"1191","Memetic / PepeCoin","MEME","memetic","","",""
"1193","C-Bit","XCT","c-bit","","",""
"1194","Independent Money System","IMS","independent-money-system","","",""
"1195","HOdlcoin","HODL","hodlcoin","","",""
"1198","BigUp","BIGUP","bigup","","",""
"1200","NevaCoin","NEVA","nevacoin","","",""
"1206","BumbaCoin","BUMBA","bumbacoin","","",""
"1208","RevolutionVR","RVR","revolutionvr","","",""
"1209","PosEx","PEX","posex","","",""
"1210","Cabbage","CAB","cabbage","","",""
"1212","MojoCoin","MOJO","mojocoin","","",""
"1213","GoldMaxCoin","GMX","goldmaxcoin","","",""
"1214","Lisk","LSK","lisk","","",""
"1216","EDRCoin","EDRC","edrcoin","","",""
"1218","PostCoin","POST","postcoin","","",""
"1222","Operand","OP","operand","","",""
"1223","BERNcash","BERN","berncash","","",""
"1226","Qwark","QWARK","qwark","","",""
"1229","DigixDAO","DGD","digixdao","","",""
"1230","Steem","STEEM","steem","","",""
"1234","Fantasy Cash","FANS","fantasy-cash","","",""
"1238","Espers","ESP","espers","","",""
"1241","FuzzBalls","FUZZ","fuzzballs","","",""
"1243","DarkLisk","DISK","darklisk","","",""
"1244","HiCoin","XHI","hicoin","","",""
"1247","AquariusCoin","ARCO","aquariuscoin","","",""
"1248","Bitcoin 21","XBTC21","bitcoin-21","","",""
"1249","Elcoin","EL","elcoin-el","","",""
"1250","Zurcoin","ZUR","zurcoin","","",""
"1251","SixEleven","611","sixeleven","","",""
"1252","2GIVE","2GIVE","2give","","",""
"1254","PlatinumBAR","XPTX","platinumbar","","",""
"1256","Alphabit","ABC","alphabitcoinfund","","",""
"1257","LanaCoin","LANA","lanacoin","","",""
"1259","PonziCoin","PONZI","ponzicoin","","",""
"1264","TeslaCoilCoin","TESLA","teslacoilcoin","","",""
"1266","MarteXcoin","MXT","martexcoin","","",""
"1268","Nullex","NLX","nullex","","",""
"1269","RichCoin","RICHX","richcoin","","",""
"1271","PrismChain","PRM","prismchain","","",""
"1274","Waves","WAVES","waves","","",""
"1275","Newbium","NEWB","newbium","","",""
"1276","ICO OpenLedger","ICOO","ico-openledger","","",""
"1279","Powercoin","PWR","powercoin","","",""
"1281","ION","ION","ion","","",""
"1282","High Voltage","HVCO","high-voltage","","",""
"1283","Mineum","MNM","mineum","","",""
"1284","RevolverCoin","XRE","revolvercoin","","",""
"1285","GoldBlocks","GB","goldblocks","","",""
"1286","Breakout","BRK","breakout","","",""
"1288","Debitcoin","DBTC","debitcoin","","",""
"1291","Comet","CMT","comet","","",""
"1294","Rise","RISE","rise","","",""
"1297","ChessCoin","CHESS","chesscoin","","",""
"1298","LBRY Credits","LBC","library-credit","","",""
"1299","PutinCoin","PUT","putincoin","","",""
"1303","Breakout Stake","BRX","breakout-stake","","",""
"1304","Syndicate","SYNX","syndicate","","",""
"1306","Cryptojacks","CJ","cryptojacks","","",""
"1307","ReeCoin","REE","reecoin","","",""
"1308","HEAT","HEAT","heat-ledger","","",""
"1309","LetItRide","LIR","letitride","","",""
"1310","DAPPSTER","DLISK","dappster","","",""
"1312","Steem Dollars","SBD","steem-dollars","","",""
"1313","LinkedCoin","LKC","linkedcoin","","",""
"1315","Chronos","CRX","chronos","","",""
"1320","Ardor","ARDR","ardor","","",""
"1321","Ethereum Classic","ETC","ethereum-classic","","",""
"1322","808Coin","808","808coin","","",""
"1323","First Bitcoin","BIT","first-bitcoin","","",""
"1330","PokeCoin","POKE","pokecoin","","",""
"1334","Elementrem","ELE","elementrem","","",""
"1336","UGAIN","GAIN","ugain","","",""
"1340","Karbo","KRB","karbo","","",""
"1341","VapersCoin","VPRC","vaperscoin","","",""
"1343","Stratis","STRAT","stratis","","",""
"1348","President Trump","PRES","president-trump","","",""
"1351","Aces","ACES","aces","","",""
"1352","President Johnson","GARY","president-johnson","","",""
"1353","TajCoin","TAJ","tajcoin","","",""
"1356","TodayCoin","TODAY","todaycoin","","",""
"1357","PX","PX","px","","",""
"1358","E-Dinar Coin","EDR","e-dinar-coin","","",""
"1359","BitTokens","BXT","bittokens","","",""
"1361","Artex Coin","ATX","artex-coin","","",""
"1366","AgrolifeCoin","AGLC","agrolifecoin","","",""
"1367","Experience Points","XP","experience-points","","",""
"1368","Veltor","VLT","veltor","","",""
"1371","B3Coin","KB3","b3coin","","",""
"1374","BlockPay","BLOCKPAY","blockpay","","",""
"1375","Golfcoin","GOLF","golfcoin","","",""
"1376","NEO","NEO","neo","","",""
"1379","Jewels","JWL","jewels","","",""
"1380","LoMoCoin","LMC","lomocoin","","",""
"1381","Bitcloud","BTDX","bitcloud","","",""
"1382","NoLimitCoin","NLC2","nolimitcoin","","",""
